name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	118	87	0.0
Azorhizobium	6	genus	5369772	23	0	0.0
Azorhizobium caulinodans	7	species	5369772	70	0	0.0
Buchnera aphidicola	9	species	602805	120	30	0.0
Cellvibrio	10	genus	4576573	28	0	0.0
Cellulomonas gilvus	11	species	3526441	36	0	0.0
Methylophilus	16	genus	0	42	0	0.0
Pelobacter	18	genus	3953506	30	0	0.0
Pelobacter carbinolicus	19	species	3665893	8	0	0.0
Phenylobacterium	20	genus	4379231	39	0	0.0
Shewanella	22	genus	5140018	554	99	0.0
Shewanella putrefaciens	24	species	4749735	2787	533	0.00769294
Myxococcales	29	order	9638245	512	0	0.0
Myxococcaceae	31	family	9636120	88	0	0.0
Myxococcus	32	genus	9487953	133	0	0.0
Myxococcus xanthus	34	species	9139763	2345	343	1.0336e-05
Myxococcus macrosporus	35	species	8973512	1042	256	0.0
Archangiaceae	39	family	10085598	115	0	0.0
Stigmatella	40	genus	10260756	11	0	0.0
Stigmatella aurantiaca	41	species	10260756	38	0	0.0
Cystobacter	42	genus	0	12	0	0.0
Cystobacter fuscus	43	species	12349744	1246	723	0.0
Melittangium	44	genus	9910441	6	0	0.0
Archangium	47	genus	0	21	0	0.0
Archangium gephyra	48	species	12489432	1423	876	0.0
Polyangiaceae	49	family	13907952	61	0	0.0
Chondromyces	50	genus	0	3	0	0.0
Chondromyces crocatus	52	species	11388132	925	652	0.0
Sorangium cellulosum	56	species	13907952	3961	1864	0.0
Vitreoscilla	59	genus	0	314	0	0.0
Vitreoscilla filiformis	63	species	3787551	9794	7195	0.00248625
Lysobacter	68	genus	0	434	1	0.0
Lysobacter enzymogenes	69	species	12227539	2662	1227	0.0
Simonsiella	71	genus	2469862	1	0	0.0
Simonsiella muelleri	72	species	2469862	24	0	0.0
Caulobacter	75	genus	4238499	212	2	0.0
Hyphomicrobium	81	genus	3700497	30	0	0.0
Hyphomonas	85	genus	3705021	21	0	0.0
Leptothrix	88	genus	4909403	654	0	0.0
Stella	93	genus	0	26	0	0.0
Stella humosa	94	species	5832650	1534	1013	0.0
Gallionella	96	genus	3162471	15	0	0.0
Ancylobacter	99	genus	0	52	0	0.0
Cyclobacterium marinum	104	species	6221273	19	0	0.0
Runella	105	genus	0	30	0	0.0
