name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	146	104	0.0
Azorhizobium	6	genus	5369772	35	0	0.0
Azorhizobium caulinodans	7	species	5369772	94	0	0.0
Buchnera aphidicola	9	species	602805	84	34	0.0
Cellvibrio	10	genus	4576573	23	0	0.0
Cellulomonas gilvus	11	species	3526441	50	0	0.0
Dictyoglomus thermophilum	14	species	1959987	1	0	0.0
Methylophilus	16	genus	0	16	0	0.0
Pelobacter	18	genus	3953506	28	0	0.0
Pelobacter carbinolicus	19	species	3665893	17	0	0.0
Phenylobacterium	20	genus	4379231	79	0	0.0
Shewanella	22	genus	5140018	186	13	0.0
Shewanella putrefaciens	24	species	4749735	579	62	0
Myxococcales	29	order	9638245	973	0	0.0
Myxococcaceae	31	family	9636120	113	0	0.0
Myxococcus	32	genus	9487953	224	0	0.0
Myxococcus xanthus	34	species	9139763	5033	865	0.0
Myxococcus macrosporus	35	species	8973512	2596	686	0.0
Archangiaceae	39	family	10085598	191	0	0.0
Stigmatella	40	genus	10260756	9	0	0.0
Stigmatella aurantiaca	41	species	10260756	67	0	0.0
Cystobacter	42	genus	0	24	0	0.0
Cystobacter fuscus	43	species	12349744	3490	2056	2.10506e-05
Melittangium	44	genus	9910441	13	0	0.0
Archangium	47	genus	0	36	0	0.0
Archangium gephyra	48	species	12489432	3614	2170	3.36698e-239
Polyangiaceae	49	family	13907952	83	0	0.0
Chondromyces	50	genus	0	12	0	0.0
Chondromyces crocatus	52	species	11388132	2734	1919	6.72874e-05
Sorangium cellulosum	56	species	13907952	14864	6336	4.75988e-05
Vitreoscilla	59	genus	0	90	0	0.0
Vitreoscilla filiformis	63	species	3787551	3288	2364	0.00136048
Lysobacter	68	genus	0	523	2	0.0
Lysobacter enzymogenes	69	species	12227539	5534	2785	0.0
Simonsiella muelleri	72	species	2469862	1	0	0.0
Caulobacter	75	genus	4238499	400	7	0.0
Hyphomicrobium	81	genus	3700497	114	0	0.0
Hyphomonas	85	genus	3705021	17	0	0.0
Leptothrix	88	genus	4909403	263	0	0.0
Stella	93	genus	0	77	0	0.0
Stella humosa	94	species	5832650	4115	2791	0.0
Gallionella	96	genus	3162471	14	0	0.0
Ancylobacter	99	genus	0	102	0	0.0
Cyclobacterium marinum	104	species	6221273	4	0	0.0
Runella	105	genus	0	9	0	0.0
Spirosoma	107	genus	0	32	1	0.0
Planctomycetales	112	order	5733343	101	0	0.0
Gemmata	113	genus	0	58	0	0.0
Gemmata obscuriglobus	114	species	17998094	6868	3703	0.0
Planctomyces	118	genus	0	39	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	0	0.0
Planctopirus limnophila	120	species	5460085	2	0	0.0
Gimesia maris	122	species	15634937	975	359	0.0
