name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	111	85	0.0
Azorhizobium	6	genus	5369772	20	0	0.0
Azorhizobium caulinodans	7	species	5369772	58	0	0.0
Buchnera aphidicola	9	species	602805	117	36	0.0
Cellvibrio	10	genus	4576573	43	0	0.0
Cellulomonas gilvus	11	species	3526441	24	0	0.0
Dictyoglomus	13	genus	1907773	2	0	0.0
Dictyoglomus thermophilum	14	species	1959987	1	0	0.0
Methylophilus	16	genus	0	17	0	0.0
Pelobacter	18	genus	3953506	27	0	0.0
Pelobacter carbinolicus	19	species	3665893	8	0	0.0
Phenylobacterium	20	genus	4379231	49	0	0.0
Shewanella	22	genus	5140018	338	58	0.0
Shewanella putrefaciens	24	species	4749735	1047	136	0.000168028
Myxococcales	29	order	9638245	507	2	0.0
Myxococcaceae	31	family	9636120	71	0	0.0
Myxococcus	32	genus	9487953	101	0	0.0
Myxococcus xanthus	34	species	9139763	2249	369	0.0
Myxococcus macrosporus	35	species	8973512	1078	279	0.0
Archangiaceae	39	family	10085598	96	0	0.0
Stigmatella	40	genus	10260756	5	0	0.0
Stigmatella aurantiaca	41	species	10260756	28	0	0.0
Cystobacter	42	genus	0	6	0	0.0
Cystobacter fuscus	43	species	12349744	1339	770	0.0
Melittangium	44	genus	9910441	9	0	0.0
Archangium	47	genus	0	11	0	0.0
Archangium gephyra	48	species	12489432	1392	856	0.0
Polyangiaceae	49	family	13907952	55	0	0.0
Chondromyces	50	genus	0	5	0	0.0
Chondromyces crocatus	52	species	11388132	1080	792	0.0
Sorangium cellulosum	56	species	13907952	4711	2156	0.0
Vitreoscilla	59	genus	0	119	0	0.0
Vitreoscilla filiformis	63	species	3787551	3216	2080	0.000200193
Lysobacter	68	genus	0	337	1	0.0
Lysobacter enzymogenes	69	species	12227539	2404	1174	0.0
Simonsiella	71	genus	2469862	3	0	0.0
Simonsiella muelleri	72	species	2469862	3	0	0.0
Caulobacter	75	genus	4238499	263	10	0.0
Hyphomicrobium	81	genus	3700497	58	0	0.0
Hyphomonas	85	genus	3705021	30	0	0.0
Leptothrix	88	genus	4909403	271	0	0.0
Stella	93	genus	0	39	0	0.0
Stella humosa	94	species	5832650	1622	1086	2.27397e-05
Gallionella	96	genus	3162471	16	0	0.0
Ancylobacter	99	genus	0	62	0	0.0
Cyclobacterium marinum	104	species	6221273	17	0	0.0
Runella	105	genus	0	7	0	0.0
Spirosoma	107	genus	0	28	0	0.0
Planctomycetales	112	order	5733343	84	0	0.0
Gemmata	113	genus	0	30	0	0.0
Gemmata obscuriglobus	114	species	17998094	2425	1327	0.0
Planctomyces	118	genus	0	25	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	4	0	0.0
Planctopirus limnophila	120	species	5460085	6	0	0.0
Gimesia maris	122	species	15634937	754	217	0.0
Pirellula	123	genus	6196199	3	0	0.0
Pirellula staleyi	125	species	6196199	5	0	0.0
Planctomycetaceae	126	family	5733343	35	0	0.0
Isosphaera pallida	128	species	5529304	9	0	0.0
Methylocystis	133	genus	0	106	0	0.0
Methylocystis parvus	134	species	4529043	1093	718	1.50682e-05
Spirochaetales	136	order	1876294	33	0	0.0
Spirochaetaceae	137	family	2749897	28	0	0.0
Borrelia	138	genus	1176628	18	2	0.0
Borreliella burgdorferi	139	species	1329613	92	27	0.0
Borrelia hermsii	140	species	1156143	3	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	1165365	60	9	0.0
Spirochaeta	146	genus	2772907	5	0	0.0
Spirochaeta thermophila	154	species	2516433	6	0	0.0
Treponema	157	genus	2490077	7	1	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	170	9	0.0
Treponema pallidum	160	species	1139017	5	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	19	0	0.0
Treponema phagedenis	162	species	17151030	393	25	0.0
Treponema succinifaciens	167	species	2897425	2	0	0.0
Leptospiraceae	170	family	5274184	17	0	0.0
Leptospira	171	genus	5319704	26	13	0.0
Leptospira biflexa	172	species	3953768	10	0	0.0
Leptospira interrogans	173	species	6128534	315	201	0.0
Leptospira borgpetersenii	174	species	4736323	52	13	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	11	0	0.0
Leptospirillum	179	genus	2432093	2	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	7	0	0.0
Aquaspirillum	187	genus	0	33	0	0.0
Azospirillum	191	genus	7223069	618	35	0.0
Azospirillum brasilense	192	species	50779208	8591	1325	0.0
Azospirillum lipoferum	193	species	7223069	134	0	0.0
Campylobacter	194	genus	2403822	50	15	0.0
Campylobacter coli	195	species	1776238	516	175	0.0
Campylobacter fetus	196	species	2065164	108	68	0.0
Campylobacter jejuni	197	species	3124996	759	284	0.0
Campylobacter hyointestinalis	198	species	1755214	98	0	0.0
Campylobacter concisus	199	species	2099413	207	110	0.0
Campylobacter curvus	200	species	1971270	89	0	0.0
Campylobacter lari	201	species	1565468	321	106	0.0
Campylobacter showae	204	species	2160580	66	48	0.0
Campylobacter sputorum	206	species	1746988	133	50	0.0
Helicobacter	209	genus	1715890	16	2	0.0
Helicobacter pylori	210	species	1700965	876	366	0.0
Helicobacter acinonychis	212	species	1557588	3	0	0.0
Helicobacter cinaedi	213	species	2170766	195	57	0.0
Helicobacter felis	214	species	1672681	4	0	0.0
