name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	214	150	0.0
Azorhizobium	6	genus	5369772	44	0	0.0
Azorhizobium caulinodans	7	species	5369772	117	0	0.0
Buchnera aphidicola	9	species	602805	149	55	0.0
Cellvibrio	10	genus	4576573	31	0	0.0
Cellulomonas gilvus	11	species	3526441	30	0	0.0
Dictyoglomus	13	genus	1907773	2	0	0.0
Dictyoglomus thermophilum	14	species	1959987	3	0	0.0
Methylophilus	16	genus	0	52	0	0.0
Pelobacter	18	genus	3953506	44	0	0.0
Pelobacter carbinolicus	19	species	3665893	23	0	0.0
Phenylobacterium	20	genus	4379231	79	0	0.0
Shewanella	22	genus	5140018	362	52	0.0
Shewanella putrefaciens	24	species	4749735	1169	136	0
Myxococcales	29	order	9638245	944	0	0.0
Myxococcaceae	31	family	9636120	122	0	0.0
Myxococcus	32	genus	9487953	256	0	0.0
Myxococcus xanthus	34	species	9139763	5070	950	0.0
Myxococcus macrosporus	35	species	8973512	2680	713	0.0
Archangiaceae	39	family	10085598	190	0	0.0
Stigmatella	40	genus	10260756	18	0	0.0
Stigmatella aurantiaca	41	species	10260756	68	0	0.0
Cystobacter	42	genus	0	27	0	0.0
Cystobacter fuscus	43	species	12349744	3127	1892	0.0
Melittangium	44	genus	9910441	24	0	0.0
Archangium	47	genus	0	33	0	0.0
Archangium gephyra	48	species	12489432	3415	2096	0.0
Polyangiaceae	49	family	13907952	99	0	0.0
Chondromyces	50	genus	0	20	0	0.0
Chondromyces crocatus	52	species	11388132	2627	1836	0.0
Sorangium cellulosum	56	species	13907952	13094	5827	0.0
Vitreoscilla	59	genus	0	169	0	0.0
Vitreoscilla filiformis	63	species	3787551	6181	4400	0.00125327
Lysobacter	68	genus	0	594	2	0.0
Lysobacter enzymogenes	69	species	12227539	5679	2905	0
Simonsiella	71	genus	2469862	2	0	0.0
Simonsiella muelleri	72	species	2469862	22	0	0.0
Caulobacter	75	genus	4238499	420	11	0.0
Hyphomicrobium	81	genus	3700497	96	0	0.0
Hyphomonas	85	genus	3705021	31	0	0.0
Leptothrix	88	genus	4909403	449	0	0.0
Stella	93	genus	0	57	0	0.0
Stella humosa	94	species	5832650	3719	2528	0.0
Gallionella	96	genus	3162471	16	0	0.0
Ancylobacter	99	genus	0	95	0	0.0
Cyclobacterium marinum	104	species	6221273	12	0	0.0
Runella	105	genus	0	9	0	0.0
Spirosoma	107	genus	0	34	1	0.0
Planctomycetales	112	order	5733343	121	0	0.0
Gemmata	113	genus	0	62	0	0.0
Gemmata obscuriglobus	114	species	17998094	6133	3390	0.0
Planctomyces	118	genus	0	49	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	9	0	0.0
Planctopirus limnophila	120	species	5460085	7	0	0.0
Gimesia maris	122	species	15634937	1270	455	0.0
Pirellula	123	genus	6196199	11	0	0.0
Pirellula staleyi	125	species	6196199	7	0	0.0
Planctomycetaceae	126	family	5733343	61	0	0.0
Isosphaera	127	genus	5529304	4	0	0.0
Isosphaera pallida	128	species	5529304	10	0	0.0
Methylocystis	133	genus	0	264	0	0.0
Methylocystis parvus	134	species	4529043	3848	2836	0.000281037
Spirochaetales	136	order	1876294	67	0	0.0
Spirochaetaceae	137	family	2749897	38	0	0.0
Borrelia	138	genus	1176628	25	0	0.0
Borreliella burgdorferi	139	species	1329613	147	45	0.0
Borrelia hermsii	140	species	1156143	4	0	0.0
Borrelia parkeri	141	species	1030684	3	0	0.0
Borrelia turicatae	142	species	1165365	116	9	0.0
Spirochaeta	146	genus	2772907	10	0	0.0
Spirochaeta thermophila	154	species	2516433	12	0	0.0
Treponema	157	genus	2490077	26	1	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	286	14	0.0
Treponema pallidum	160	species	1139017	2	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	42	0	0.0
Treponema phagedenis	162	species	17151030	626	30	0.0
Treponema succinifaciens	167	species	2897425	3	0	0.0
Leptospiraceae	170	family	5274184	26	0	0.0
Leptospira	171	genus	5319704	41	15	0.0
