name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	89	68	0.0
Azorhizobium	6	genus	5369772	40	0	0.0
Azorhizobium caulinodans	7	species	5369772	36	0	0.0
Buchnera aphidicola	9	species	602805	229	95	0.0
Cellvibrio	10	genus	4576573	35	0	0.0
Cellulomonas gilvus	11	species	3526441	10	0	0.0
Dictyoglomus	13	genus	1907773	2	0	0.0
Dictyoglomus thermophilum	14	species	1959987	3	0	0.0
Methylophilus	16	genus	0	2	0	0.0
Pelobacter	18	genus	3953506	21	0	0.0
Pelobacter carbinolicus	19	species	3665893	12	0	0.0
Phenylobacterium	20	genus	4379231	29	0	0.0
Shewanella	22	genus	5140018	374	86	0.0
Shewanella putrefaciens	24	species	4749735	1133	189	0.0
Myxococcales	29	order	9638245	324	0	0.0
Myxococcaceae	31	family	9636120	31	0	0.0
Myxococcus	32	genus	9487953	70	0	0.0
Myxococcus xanthus	34	species	9139763	1520	264	0.0
Myxococcus macrosporus	35	species	8973512	702	186	0.0
Archangiaceae	39	family	10085598	67	0	0.0
Stigmatella	40	genus	10260756	11	0	0.0
Stigmatella aurantiaca	41	species	10260756	23	0	0.0
Cystobacter	42	genus	0	7	0	0.0
Cystobacter fuscus	43	species	12349744	825	449	0.0
Melittangium	44	genus	9910441	3	0	0.0
Archangium	47	genus	0	7	0	0.0
Archangium gephyra	48	species	12489432	923	542	0.0
Polyangiaceae	49	family	13907952	27	0	0.0
Chondromyces	50	genus	0	10	0	0.0
Chondromyces crocatus	52	species	11388132	922	646	0.0
Sorangium cellulosum	56	species	13907952	3604	1590	0.0
Vitreoscilla	59	genus	0	20	0	0.0
Vitreoscilla filiformis	63	species	3787551	323	193	0.0
Lysobacter	68	genus	0	153	0	0.0
Lysobacter enzymogenes	69	species	12227539	1397	710	0.0
Simonsiella	71	genus	2469862	2	0	0.0
Simonsiella muelleri	72	species	2469862	5	0	0.0
Caulobacter	75	genus	4238499	220	1	0.0
Hyphomicrobium	81	genus	3700497	67	0	0.0
Hyphomonas	85	genus	3705021	63	0	0.0
Leptothrix	88	genus	4909403	26	0	0.0
Stella	93	genus	0	51	0	0.0
Stella humosa	94	species	5832650	1422	920	0.0
Gallionella	96	genus	3162471	2	0	0.0
Ancylobacter	99	genus	0	48	0	0.0
Cyclobacterium marinum	104	species	6221273	23	0	0.0
Runella	105	genus	0	7	0	0.0
Spirosoma	107	genus	0	27	0	0.0
Planctomycetales	112	order	5733343	46	0	0.0
Gemmata	113	genus	0	23	0	0.0
Gemmata obscuriglobus	114	species	17998094	1232	615	0.0
Planctomyces	118	genus	0	9	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	2	0	0.0
Planctopirus limnophila	120	species	5460085	5	0	0.0
Gimesia maris	122	species	15634937	536	159	0.0
Pirellula	123	genus	6196199	5	0	0.0
Pirellula staleyi	125	species	6196199	4	0	0.0
Planctomycetaceae	126	family	5733343	26	0	0.0
Isosphaera	127	genus	5529304	1	0	0.0
Isosphaera pallida	128	species	5529304	8	0	0.0
Methylocystis	133	genus	0	106	0	0.0
Methylocystis parvus	134	species	4529043	536	300	0.0
Spirochaetales	136	order	1876294	24	0	0.0
Spirochaetaceae	137	family	2749897	19	0	0.0
Borrelia	138	genus	1176628	26	4	0.0
Borreliella burgdorferi	139	species	1329613	216	63	0.0
Borrelia hermsii	140	species	1156143	6	0	0.0
Borrelia parkeri	141	species	1030684	2	0	0.0
Borrelia turicatae	142	species	1165365	134	25	0.0
Borrelia anserina	143	species	1042690	2	0	0.0
Spirochaeta	146	genus	2772907	6	0	0.0
Spirochaeta thermophila	154	species	2516433	7	0	0.0
Treponema	157	genus	2490077	18	0	0.0
Treponema denticola	158	species	2843201	3	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	380	21	0.0
Treponema pallidum	160	species	1139017	7	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	41	0	0.0
Treponema phagedenis	162	species	17151030	635	31	0.0
Treponema succinifaciens	167	species	2897425	2	0	0.0
Leptospiraceae	170	family	5274184	6	0	0.0
Leptospira	171	genus	5319704	25	9	0.0
Leptospira biflexa	172	species	3953768	1	0	0.0
Leptospira interrogans	173	species	6128534	562	351	0.0
Leptospira borgpetersenii	174	species	4736323	55	19	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	18	0	0.0
Leptospirillum	179	genus	2432093	10	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	0	0.0
Aquaspirillum	187	genus	0	8	0	0.0
Azospirillum	191	genus	7223069	522	16	0.0
Azospirillum brasilense	192	species	50779208	6212	993	0.0
Azospirillum lipoferum	193	species	7223069	94	0	0.0
Campylobacter	194	genus	2403822	155	46	0.0
Campylobacter coli	195	species	1776238	1119	387	0
Campylobacter fetus	196	species	2065164	232	146	0.0
Campylobacter jejuni	197	species	3124996	1745	672	0
Campylobacter hyointestinalis	198	species	1755214	208	0	0.0
Campylobacter concisus	199	species	2099413	308	175	0.0
Campylobacter curvus	200	species	1971270	100	0	0.0
Campylobacter lari	201	species	1565468	905	252	0.0
Campylobacter showae	204	species	2160580	125	70	0.0
Campylobacter sputorum	206	species	1746988	421	145	0.0
Helicobacter	209	genus	1715890	45	6	0.0
Helicobacter pylori	210	species	1700965	1345	566	0.0
Helicobacter acinonychis	212	species	1557588	10	0	0.0
Helicobacter cinaedi	213	species	2170766	283	88	0.0
Helicobacter mustelae	217	species	1578097	107	0	0.0
Achromobacter	222	genus	7359146	259	2	0.0
Alteromonas	226	genus	4609878	311	64	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	357	204	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	5	0	0.0
Brucella	234	genus	4039663	1105	592	0.0
Brucella abortus	235	species	3283421	44	5	0.0
Flavobacterium	237	genus	3461015	222	18	0.0
Elizabethkingia meningoseptica	238	species	15625789	1262	254	0.0
Chryseobacterium balustinum	246	species	4974086	529	320	0.0
Empedobacter brevis	247	species	7431270	1097	191	1.6165e-18
Chryseobacterium gleum	250	species	9292597	756	493	0.0
