Subtype_to_16S_copy_number	A1	A2	A3	A4	A5	A6
aminoglycoside__aac(2')-I	0.000359052059171337	0	0	0	0	0
aminoglycoside__aac(3)-I	0	0	0	9.06332278768322e-05	0	0
aminoglycoside__aac(3)-II	0	0	0	0	0	0
aminoglycoside__aac(3)-IIIa	0	0	0	0.000193207503945075	0	0
aminoglycoside__aac(3)-IV	0	0	0	0	0	0
aminoglycoside__aac(3)-IX	0	0	0	0	0	0
aminoglycoside__aac(3)-Ib-aac(6')-Ib	0	0	0	0	0	0
aminoglycoside__aac(3)-VI	0	0	0	0	0	0
aminoglycoside__aac(3)-VII	0	0	0	0	0	0
aminoglycoside__aac(3)-VIII	0	0	0	0	0	0
aminoglycoside__aac(3)-X	0	0	0	0	0	0
aminoglycoside__aac(6')-30-aac(6')-Ib'	0	0	0	0	0	0
aminoglycoside__aac(6')-31	0	0	0	0	0	0
aminoglycoside__aac(6')-I	0	0	0.00025436207873501	0	0	0
aminoglycoside__aac(6')-II	0	0	0	0	0	0
aminoglycoside__aad(6)	0	0	0	0	0	0
aminoglycoside__aad(9)	0	0	0	0	0	0
aminoglycoside__aadA	0.00101184040887354	0	0.000916295044315337	0	0	0.00425501430106424
aminoglycoside__aadB	0	0	0	0	0	0
aminoglycoside__aadD	0	0	0	0	0	0
aminoglycoside__aadE	0.000115129717102487	0	0	0	0.000158817908817909	0
aminoglycoside__aadK	0	0	0	0	0	0
aminoglycoside__ant(2'')-I	0	0	0	0	0	0
aminoglycoside__ant(3'')-Ih-aac(6')-IId	0	0	0	0	0	0
aminoglycoside__ant(4')-IIa	0	0	0	0	0	0
aminoglycoside__ant(4')-Ia	0	0	0	0	0	0
aminoglycoside__ant(9)-I	0	0	0	0	0	0
aminoglycoside__aph(2'')-II	0	0	0	0	0	0
aminoglycoside__aph(2'')-III	0	0	0	0	0	0
aminoglycoside__aph(2'')-IV	0	0	0	0	0	0
aminoglycoside__aph(2'')-Ie	0	0	0	0	0	0
aminoglycoside__aph(3''')-III	0	0	0	0	0	0
aminoglycoside__aph(3'')-I	0.000281312999746367	0	0.000361646990062494	0	0	0
aminoglycoside__aph(3'')-IV	0	0	0	0	0	0
aminoglycoside__aph(3')-I	0	0	0	0	0	0.000804103553438495
aminoglycoside__aph(3')-IIb	0	0	0	0	0	0
aminoglycoside__aph(3')-V	0	0	0	0	0	0
aminoglycoside__aph(3')-VII	0	0	0	0	0	0
aminoglycoside__aph(4)-I	0	0	0	0	0	0
aminoglycoside__aph(6)-I	0.000157451511262057	0	0	0	0	0
aminoglycoside__bifunctional aminoglycoside N-acetyltransferase and aminoglycoside phosphotransferase	0	0	0	0	0	0
aminoglycoside__rmtA	0	0	0	0	0	0
aminoglycoside__rmtB	0	0	0	0	0	0
aminoglycoside__rmtC	0	0	0	0	0	0
aminoglycoside__rmtD	0	0	0	0	0	0
aminoglycoside__rmtF	0	0	0	0	0	0
aminoglycoside__rmtG	0	0	0	0	0	0
aminoglycoside__streptomycin resistance protein	0	0	0	0	0	0
aminoglycoside__streptothricin acetyltransferase	0	0	0	0	0	0
aminoglycoside__tunicamycin resistance protein	0	0	0	0	0	0
