Type_to_16S_copy_number	A1	A2	A3	A4	A5	A6
aminoglycoside	0.00192478669615579	0	0.00153230411311284	0.000283840731821907	0.000158817908817909	0.00505911785450274
bacitracin	0.109895451292731	0.0561746198683096	0.0444723437272484	0.0576233832851539	0.00172449989081215	0.00842030771879443
beta-lactam	0.00357002041297381	0.00266329335403065	0.00221402497741954	0.000212643405554937	0.000125197355993152	0.00839637429442655
bleomycin	0	0	0	0	0	0
carbomycin	0	0	0	0	0	0
chloramphenicol	0.000283316396790797	0.000335467959061664	0.000554314314257762	0	0.000223392223392224	0
fosfomycin	0	0.000346465254561731	0	0	0	0
fosmidomycin	0.000856958915636732	0.00201797793138742	0.000668500288888233	0.0013196063067953	0.000131354855549816	9.84749861242178e-05
fusaric-acid	0	0	0	0	0	0
fusidic-acid	0	0	0	0	0	0
kasugamycin	0.000391086792865064	0	0	0.000641384179675734	0.000525249701720291	0.000100962798733904
macrolide-lincosamide-streptogramin	0.00302944954302388	0.00624956765944251	0.00214696104427884	0.00304730079972255	0.000384898453670788	0.0065321411437034
multidrug	0.0335485840478097	0.0348901705281347	0.0144926686459988	0.0246368293975612	0.00503420137269235	0.0088031870464278
polymyxin	0.00037389757181606	0.000792177878076181	8.90034769102027e-05	0.000252058226683168	8.88491797582708e-05	0.000164541826627518
puromycin	0	0	0	0	0	0
quinolone	0.00060230798055525	0.000485358456934383	0	0.000173303404083806	0	0
rifamycin	0.00101201459374154	0.00233848684384208	0.00127461585777874	0.00100134912527894	0	0.000555111824311502
spectinomycin	0	0	0	0	0	0
sulfonamide	0.0059337035448806	0.000343954824380996	0.00283016364592702	0.000266867777136685	0	0.0048395570563882
tetracenomycin_C	0	0	0	0	0	0
tetracycline	0.00410050417628565	0.00558288458195463	0.0021344393173686	0.00104541767466313	0.00194679856707569	0.00248553917545967
trimethoprim	0.000715008679998954	0.000521265597926586	0.000274254497713004	0.000301950488629446	0	0
unclassified	0.0080402131866371	0.00726296066508886	0.00604180594725499	0.00302445372894703	0.00451214078635187	0.00221197157241753
vancomycin	0.000295601498261383	0.00600033688220123	0.000465767956836554	0.00182829532777477	0	0.000509784129140855
